study,species,year,site,latitude,elevation,moult_stage,spring,spring_se,fall,fall_se
6,Snowshoe hares (Lepus americanus),2014,Marcum,46.99,1700,start,107,2.040816327,,
,Snowshoe hares (Lepus americanus),2014,Marcum,46.99,1700,end,146,2.040816327,,
7,Mountain hares (Lepus timidus),2011,Norway,64,500,start,74,17.34693878,292,7.397959184
7,Mountain hares (Lepus timidus),2011,Norway,64,500,end,124,16.58163265,330,6.632653061
7,Mountain hares (Lepus timidus),2012,Norway,64,500,start,75,4.081632653,278,6.37755102
7,Mountain hares (Lepus timidus),2012,Norway,64,500,end,135,5.612244898,329,3.826530612
7,Mountain hares (Lepus timidus),2013,Norway,64,500,start,101,4.336734694,262,13.7755102
7,Mountain hares (Lepus timidus),2013,Norway,64,500,end,165,4.591836735,334,8.163265306
7,Mountain hares (Lepus timidus),2014,Norway,64,500,start,88,2.040816327,266,6.632653061
7,Mountain hares (Lepus timidus),2014,Norway,64,500,end,142,3.571428571,326,4.336734694
7,Mountain hares (Lepus timidus),2015,Norway,64,500,start,90,2.551020408,273,5.867346939
7,Mountain hares (Lepus timidus),2015,Norway,64,500,end,141,1.785714286,326,29.08163265
7,Mountain hares (Lepus timidus),2016,Norway,64,500,start,92,1.275510204,284,2.806122449
7,Mountain hares (Lepus timidus),2016,Norway,64,500,end,143,3.06122449,332,2.040816327
7,Mountain hares (Lepus timidus),2017,Norway,64,500,start,84,1.275510204,278,2.806122449
7,Mountain hares (Lepus timidus),2017,Norway,64,500,end,136,1.275510204,331,1.020408163
7,Mountain hares (Lepus timidus),2018,Norway,64,500,start,100,0.765306122,281,2.551020408
7,Mountain hares (Lepus timidus),2018,Norway,64,500,end,150,1.020408163,332,1.530612245
7,Mountain hares (Lepus timidus),2019,Norway,64,500,start,96,0.510204082,,
7,Mountain hares (Lepus timidus),2019,Norway,64,500,end,142,1.530612245,,
