"ID","Sire","Dam"
"4419",NA,"4421"
"5410","4647",NA
"389","736","396"
"981","4357","983"
"1667","4663","4421"
"2973","399","2977"
"3717","1092","3724"
"4410","1723","4421"
"5254","1070","5255"
"65",NA,"126"
"211",NA,"5264"
"216",NA,"5264"
"257",NA,"5248"
"259",NA,"5248"
"320",NA,"397"
"321",NA,"397"
"322",NA,"397"
"324",NA,"397"
"325",NA,"397"
"349","4583",NA
"489",NA,"1985"
"492",NA,"1985"
"493",NA,"1985"
"495",NA,"1985"
"571",NA,"3286"
"572",NA,"3286"
"674",NA,"1040"
"805",NA,"398"
"806",NA,"398"
"810",NA,"398"
"925",NA,"908"
"930",NA,"908"
"1071","595",NA
"1087",NA,"4281"
"1146",NA,"910"
"1149",NA,"910"
"1225",NA,"5260"
"1568","4583",NA
"1664","2970",NA
"1690","2081",NA
"1710","1110",NA
"1758","2970",NA
"1797",NA,"401"
"1798",NA,"401"
"1810",NA,"1107"
"1881",NA,"5706"
"1882",NA,"5706"
"1884",NA,"5706"
"2124",NA,"593"
"2125",NA,"593"
"2126",NA,"593"
"2127",NA,"593"
"2128",NA,"593"
"2164",NA,"3055"
"2193","906",NA
"2327",NA,"2331"
"2396",NA,"2406"
"2400",NA,"2406"
"2519",NA,"402"
"2781",NA,"594"
"2782",NA,"594"
"2784",NA,"594"
"2785",NA,"594"
"2787",NA,"594"
"2788",NA,"594"
"2791",NA,"594"
"2792",NA,"594"
"2945",NA,"1168"
"2946",NA,"1168"
"2947",NA,"1168"
"3138",NA,"3408"
"3139",NA,"3408"
"3162",NA,"3412"
"3164",NA,"3412"
"3374",NA,"862"
"3380",NA,"3407"
"3383","3857",NA
"3396",NA,"3407"
"3404",NA,"3407"
"3427",NA,"3409"
"3428",NA,"3409"
"3430",NA,"3409"
"3441",NA,"1171"
"3458",NA,"5247"
"3460",NA,"5247"
"3461",NA,"5247"
"3607",NA,"592"
"3608",NA,"592"
"3612",NA,"592"
"3869",NA,"4645"
"3870",NA,"4645"
"3875",NA,"4645"
"3892",NA,"2083"
"3944",NA,"5121"
"3965",NA,"3973"
"3967",NA,"3973"
"4136",NA,"5709"
"4196",NA,"4282"
"4241","4583",NA
"4529",NA,"2965"
"4634",NA,"2407"
"4636",NA,"2407"
"4637",NA,"2407"
"4901",NA,"536"
"4939",NA,"5119"
"4940",NA,"5119"
"5029",NA,"909"
"5087",NA,"5116"
"5089",NA,"5116"
"5090",NA,"5116"
"5298",NA,"4200"
"5299",NA,"4200"
"5347",NA,"3054"
"5348",NA,"3054"
"5445",NA,"5251"
"5448",NA,"5251"
"5449",NA,"5251"
"5450",NA,"5251"
"5457",NA,"5463"
"5459",NA,"5463"
"5460",NA,"5463"
"5469",NA,"3524"
"5470",NA,"3524"
"5690",NA,"2402"
"5692",NA,"2402"
"5693",NA,"2402"
"256","2020","5248"
"263","2417","5248"
"264","2417","5248"
"323","5680","397"
"342","4662","347"
"393","5120","396"
"513","5110","2079"
"514","4357","2079"
"518","4909","2079"
"537","1756","536"
"568","2487","3286"
"570","5680","3286"
"596","1676","600"
"807","1753","398"
"811","4663","398"
"816","2757","1651"
"884","3883","911"
"887","1688","911"
"928","3883","908"
"982","2757","983"
"1147","3883","910"
"1173","3206","1163"
"1174","3206","1163"
"1223","3883","5260"
"1229","5124","5260"
"1691","4583","1651"
"1709","2417","860"
"1799","3883","401"
"2123","2020","593"
"2167","3189","3055"
"2325","3924","2331"
"2326","3924","2331"
"2329","4663","2331"
"2395","5680","2406"
"2783","1996","594"
"2786","4357","594"
"2937","399","2942"
"2943","1761","1168"
"3057","475","3060"
"3137","1711","3408"
"3382","1750","3407"
"3401","3924","3407"
"3403","399","3407"
"3439","3883","1171"
"3454","736","5247"
"3455","1671","5247"
"3456","4766","5247"
"3462","399","5247"
"3512","1092","4179"
"3609","5680","592"
"3611","5680","592"
"3628","3206","3453"
"3715","3206","3724"
"3716","3206","3724"
"3720","1169","3724"
"3867","1756","4645"
"3868","3629","4645"
"3874","3189","4645"
"3940","1072","5121"
"3942","2417","5121"
"3945","1718","5121"
"3964","1671","3973"
"4137","1752","5709"
"4182","3206","4187"
"4414","3206","4421"
"4466","1070","860"
"4468","399","860"
"4469","2417","860"
"4893","1711","536"
"4894","1711","536"
"4898","1072","536"
"4900","1723","536"
"4944","2417","5119"
"4945","2147","5119"
"4962","3883","5708"
"4964","1716","5708"
"5028","399","909"
"5082","736","5116"
"5084","3924","5116"
"5265","3206","5268"
"5267","1169","5268"
"5297","1748","4200"
"5444","399","5251"
"5455","1704","5463"
"5456","633","5463"
"5462","1108","5463"
"5687","1719","2402"
"5688","2487","2402"
"5689","4357","2402"
"5711","3206","5714"
"258","475","5248"
"260","475","5248"
"261","4201","5248"
"262","475","5248"
"515","4811","2079"
"516","3206","2079"
"813","1169","398"
"886","3065","911"
"927","1169","908"
"1091","5120","4281"
"1148","3065","910"
"1226","3206","5260"
"1811","4177","1107"
"1883","2757","5706"
"1885","2970","5706"
"2397","475","2406"
"2521","4178","402"
"2789","5249","594"
"2944","3206","1168"
"3377","3065","862"
"3437","3206","1171"
"3438","3206","1171"
"3457","475","5247"
"3459","4198","5247"
"3510","3206","4179"
"3941","475","5121"
"3968","4662","3973"
"3969","4201","3973"
"4465","475","860"
"4635","3206","2407"
"4938","1676","5119"
"4943","475","5119"
"4961","2757","5708"
"4963","906","5708"
"4967","5679","5708"
"5031","3065","909"
"5085","475","5116"
"5086","1725","5116"
"5088","475","5116"
"5301","3206","4200"
"5302","3206","4200"
"5303","1169","4200"
"5304","3206","4200"
"5305","1169","4200"
"5307","5679","4200"
"5322","906","125"
"5447","5249","5251"
"5458","3206","5463"
"5466","3206","3524"
"5496","2757","3452"
"5691","3206","2402"
"1653","1941",NA
"365",NA,"386"
"366",NA,"386"
"367",NA,"386"
"368",NA,"386"
"579",NA,"596"
"1054",NA,"1063"
"1057",NA,"1063"
"1058",NA,"1063"
"1162","5254",NA
"1729","807",NA
"1730","5688",NA
"1739","5688",NA
"1749","263",NA
"2133",NA,"5265"
"2819",NA,"389"
"3725",NA,"3712"
"3726",NA,"3712"
"3728",NA,"4419"
"3823",NA,"4414"
"4340",NA,"1173"
"4407",NA,"392"
"4585","807",NA
"5003",NA,"3719"
"369","2417","386"
"391","5688","396"
"580","5680","596"
"783","399","981"
"1056","4357","1063"
"1061","3883","1063"
"1126","2417","342"
"1127","4663","342"
"1130","2147","342"
"1807","263","1664"
"2823","1718","389"
"2979","2417","3057"
"2983","1714","3057"
"3819","1092","4414"
"3825","362","4414"
"3826","362","4414"
"4031","4663","3717"
"4183","4410","4187"
"4184","256","4187"
"213","807","5264"
"265","323","5248"
"370","5120","386"
"371","5249","386"
"581","5688","596"
"582","3065","596"
"586","3065","596"
"885","2943","911"
"926","4410","908"
"1059","3206","1063"
"1060","4410","1063"
"1132","2970","342"
"2086","323","4185"
"2520","3137","402"
"2522","5688","402"
"2529","5028","402"
"2818","3206","389"
"2821","2783","389"
"2824","1709","389"
"2978","5084","3057"
"2980","2783","3057"
"3166","5084","3412"
"3440","5084","1171"
"3511","4410","4179"
"3515","514","4179"
"3970","3137","3973"
"4337","3065","1173"
"4338","906","1173"
"4339","2943","1173"
"4341","323","1173"
"4343","514","1173"
"4470","2973","860"
"4673","3611","4254"
"4968","263","5708"
"4969","514","5708"
"20",NA,"3455"
"21",NA,"3455"
"89",NA,"2789"
"188",NA,"5082"
"190",NA,"5082"
"202",NA,"4963"
"480",NA,"2325"
"484",NA,"537"
"486",NA,"537"
"487",NA,"537"
"502",NA,"489"
"503",NA,"489"
"504",NA,"489"
"535","4241",NA
"660",NA,"5456"
"663",NA,"5456"
"664",NA,"5456"
"672",NA,"4635"
"1133","4241",NA
"1662","5691",NA
"1695","2944",NA
"1727","2944",NA
"1733","816",NA
