ID,Mother,BirthYear,Sex,BirthWt
2922,3454,1978,2,7.180000095
2946,1168,1978,2,4.460000095
3162,3412,1978,2,5.94
3459,5247,1978,1,7.23
3611,592,1978,2,5.180000095
3921,4893,1978,2,6.329999905
4196,4282,1978,2,7.220000095
4207,4211,1978,2,7.040000095
4466,860,1978,2,6.14
4529,2965,1978,1,5.42
4901,536,1978,1,3.024999905
4921,4894,1978,1,7.594999809
4961,5708,1978,1,6.695000191
5254,5255,1978,2,7.23
5301,4200,1978,1,7.825000095
5692,2402,1978,1,2.92
260,5248,1979,1,6.340000095
367,386,1979,1,6.580000191
516,2079,1979,1,6.259999809
580,596,1979,1,6.669999809
660,5456,1979,2,6.695000191
674,1040,1979,1,6.479999809
1094,1057,1979,1,5.680000095
1101,3868,1979,1,5.250000095
1175,1163,1979,2,7.240000191
1798,401,1979,2,6.009999905
1810,1107,1979,1,4.659999905
2031,805,1979,1,4.275
2127,593,1979,2,5.379999905
2397,2406,1979,2,3.78
2499,889,1979,2,5.799999905
2786,594,1979,2,6.91
2818,389,1979,2,5.040000095
2947,1168,1979,2,6.46
3199,3382,1979,1,5.000000191
3273,5687,1979,2,6.78
3374,862,1979,1,3.740000095
3403,3407,1979,2,6.91
3460,5247,1979,2,6.580000191
3511,4179,1979,2,7.765000095
3612,592,1979,2,5.609999809
3941,5121,1979,2,5.239999905
3969,3973,1979,1,6.46
4117,483,1979,1,2.975000048
4183,4187,1979,2,8.109999809
4208,4211,1979,1,7.000000191
4530,3270,1979,2,4.840000095
4636,2407,1979,2,5.220000095
5028,909,1979,2,5.860000191
5089,5116,1979,2,6.28
5302,4200,1979,1,7.519999809
5347,3054,1979,2,3.899999809
5445,5251,1979,2,5.339999809
5460,5463,1979,2,4.820000095
5693,2402,1979,2,6.440000191
20,3455,1980,1,4.979999809
261,5248,1980,1,6.919999905
325,397,1980,1,7.380000381
368,386,1980,2,7.479999809
487,537,1980,2,4.41
495,1985,1980,1,8.720000191
504,489,1980,2,8.779999619
661,5456,1980,1,8.020000381
882,568,1980,2,7.940000191
894,1054,1980,1,7.564999809
913,915,1980,2,5.549999809
927,908,1980,2,7.720000095
1030,1056,1980,1,5.940000191
1102,3868,1980,2,8.114999619
1146,910,1980,2,6.040000095
1225,5260,1980,1,8.719999619
1884,5706,1980,2,8.580000191
2175,3380,1980,1,6.624999809
2329,2331,1980,1,7.599999619
2451,3457,1980,2,7.14
2500,889,1980,1,6.225000191
2520,402,1980,2,8.534999809
2752,320,1980,1,7.019999809
2787,594,1980,1,6.895
3164,3412,1980,1,7.540000095
3430,3409,1980,2,5.940000191
3438,1171,1980,2,7.210000191
3613,3609,1980,2,4.839999809
3719,3724,1980,1,6.695000191
3892,2083,1980,2,6.899999809
3922,4893,1980,1,6.124999809
4337,1173,1980,1,5.680000095
4922,4894,1980,2,7.440000191
4943,5119,1980,1,6.28
4962,5708,1980,1,6.860000095
4973,3869,1980,1,7.135000191
5090,5116,1980,2,6.739999905
5100,2395,1980,2,5.220000191
5125,5126,1980,1,4.979999809
5239,3271,1980,1,5.580000191
5303,4200,1980,1,7.91
5348,3054,1980,2,3.92
5411,5458,1980,1,5.92
5501,4920,1980,2,6.839999809
5713,5714,1980,2,6.619999809
21,3455,1981,1,7.519999809
211,5264,1981,1,6.725000191
262,5248,1981,2,7.28
357,880,1981,1,4.979999905
477,2325,1981,1,5.925
488,537,1981,2,6.740000191
662,5456,1981,2,6.620000191
895,1054,1981,1,6.665000191
914,915,1981,1,5.904999905
1091,4281,1981,1,11.03999981
1126,342,1981,1,7.959999619
1176,1163,1981,2,7.299999905
